,image,final_labels,labels
30255,../images/lipizzan_s_000078.png,,7
53627,../images/elk_s_002078.png,,4
38315,../images/oil_tanker_s_001691.png,,8
29836,../images/chihuahua_s_001873.png,,5
69621,../images/tulip_s_001144.png,92.0,11
8510,../images/dumper_s_002229.png,,9
22806,../images/quarter_horse_s_000377.png,,7
3577,../images/japanese_deer_s_000087.png,,4
1325,../images/packet_boat_s_001269.png,,8
63367,../images/sweet_pepper_s_001657.png,83.0,12
49246,../images/lipizzan_s_000880.png,,7
15184,../images/accentor_s_000941.png,,2
4307,../images/odocoileus_hemionus_s_000881.png,,4
4842,../images/tipper_truck_s_000071.png,,9
15107,../images/bullfrog_s_000358.png,,6
22032,../images/passerine_s_000782.png,,2
56692,../images/rana_clamitans_s_000433.png,,6
30783,../images/station_wagon_s_001062.png,,1
4755,../images/sparrow_s_001591.png,,2
61808,../images/minibus_s_000258.png,13.0,14
53201,../images/bufo_bufo_s_001495.png,,6
9551,../images/rana_cascadae_s_000031.png,,6
52039,../images/pleasure_boat_s_001023.png,,8
66147,../images/rainbow_trout_s_001563.png,91.0,10
58212,../images/puppy_s_000057.png,,5
32770,../images/chihuahua_s_000453.png,,5
70831,../images/sunflower_s_001815.png,82.0,11
69705,../images/crocodylus_niloticus_s_000570.png,27.0,13
2537,../images/apteryx_s_000150.png,,2
39926,../images/stealth_fighter_s_001430.png,,0
10623,../images/buckskin_s_000144.png,,7
28825,../images/mutt_s_000360.png,,5
3415,../images/compact_s_000682.png,,1
12898,../images/american_elk_s_000008.png,,4
54393,../images/felis_catus_s_000077.png,,3
8620,../images/broodmare_s_000077.png,,7
28726,../images/toy_spaniel_s_001247.png,,5
47312,../images/sambar_s_000052.png,,4
7586,../images/bird_s_002164.png,,2
54702,../images/bufo_bufo_s_002076.png,,6
40089,../images/dawn_horse_s_001453.png,,7
47734,../images/bufo_bufo_s_000468.png,,6
37883,../images/jetliner_s_001542.png,,0
32559,../images/maltese_dog_s_001529.png,,5
50046,../images/tomcat_s_002930.png,,3
55906,../images/elk_s_001174.png,,4
49458,../images/struthio_camelus_s_000708.png,,2
54980,../images/motorcar_s_001399.png,,1
956,../images/appaloosa_s_000342.png,,7
10111,../images/ribbed_toad_s_000010.png,,6
36420,../images/roe_deer_s_000148.png,,4
8375,../images/wapiti_s_000911.png,,4
30374,../images/convertible_s_002967.png,,1
15492,../images/crapaud_s_001454.png,,6
17200,../images/attack_aircraft_s_001116.png,,0
51720,../images/deer_s_000034.png,,4
8459,../images/ostrich_s_002351.png,,2
64867,../images/colubrid_s_000711.png,78.0,13
62882,../images/train_s_002956.png,90.0,14
27156,../images/tomcat_s_000253.png,,3
28503,../images/bufo_marinus_s_001165.png,,6
68520,../images/poppy_s_000545.png,62.0,11
45060,../images/hen_s_000488.png,,2
10752,../images/domestic_cat_s_000298.png,,3
32702,../images/tabby_cat_s_002055.png,,3
5267,../images/pekingese_s_002170.png,,5
36419,../images/rana_temporaria_s_001818.png,,6
9345,../images/house_cat_s_001841.png,,3
36855,../images/american_elk_s_001652.png,,4
64933,../images/crocodylus_porosus_s_000265.png,27.0,13
4107,../images/prancer_s_000174.png,,7
41466,../images/rana_pipiens_s_000242.png,,6
64854,../images/stegosaur_s_000203.png,29.0,13
71516,../images/macoun_s_000967.png,0.0,12
17270,../images/lorry_s_000952.png,,9
43971,../images/domestic_cat_s_001251.png,,3
64669,../images/trout_s_002565.png,91.0,10
37726,../images/cargo_vessel_s_001100.png,,8
46601,../images/appaloosa_s_000394.png,,7
34406,../images/cervus_unicolor_s_000209.png,,4
27782,../images/lippizaner_s_001421.png,,7
49844,../images/trucking_rig_s_000116.png,,9
20189,../images/hen_s_000547.png,,2
1506,../images/passenger_ship_s_001023.png,,8
2817,../images/pilot_boat_s_000680.png,,8
12713,../images/dawn_horse_s_000211.png,,7
37490,../images/tipper_truck_s_000187.png,,9
17368,../images/pekinese_s_000575.png,,5
9363,../images/red_deer_s_001337.png,,4
55803,../images/station_wagon_s_001654.png,,1
65119,../images/nile_crocodile_s_001326.png,27.0,13
28708,../images/emu_s_002197.png,,2
2332,../images/trucking_rig_s_001608.png,,9
64424,../images/crocodile_s_000245.png,27.0,13
1932,../images/sparrow_s_001632.png,,2
9534,../images/car_s_001254.png,,1
33786,../images/dump_truck_s_001381.png,,9
5153,../images/speedboat_s_002497.png,,8
9905,../images/biplane_s_001422.png,,0
12509,../images/dive_bomber_s_001530.png,,0
40587,../images/tabby_s_001984.png,,3
57363,../images/estate_car_s_001345.png,,1
41945,../images/tabby_cat_s_001923.png,,3
30544,../images/passenger_ship_s_000002.png,,8
15459,../images/tennessee_walker_s_001297.png,,7
40115,../images/struthio_camelus_s_001539.png,,2
54712,../images/deer_s_000961.png,,4
40361,../images/lorry_s_001643.png,,9
35368,../images/alley_cat_s_002625.png,,3
19244,../images/lipizzan_s_000574.png,,7
55111,../images/rana_clamitans_s_000472.png,,6
68430,../images/guitarfish_s_000248.png,67.0,10
33367,../images/leopard_frog_s_000459.png,,6
48971,../images/airliner_s_001863.png,,0
35721,../images/emu_s_000398.png,,2
11369,../images/rana_pipiens_s_000218.png,,6
7670,../images/red_deer_s_001289.png,,4
69289,../images/tulip_s_000850.png,92.0,11
53407,../images/car_s_000354.png,,1
8787,../images/pilot_boat_s_000063.png,,8
40129,../images/house_cat_s_001979.png,,3
27801,../images/barking_deer_s_000101.png,,4
44115,../images/broodmare_s_000622.png,,7
51727,../images/tipper_s_001944.png,,9
14936,../images/house_cat_s_001788.png,,3
4052,../images/prunella_modularis_s_000411.png,,2
13539,../images/dawn_horse_s_001717.png,,7
7986,../images/lippizan_s_000787.png,,7
11956,../images/musk_deer_s_000095.png,,4
52956,../images/fighter_s_000954.png,,0
12767,../images/airliner_s_002223.png,,0
21066,../images/fallow_deer_s_001267.png,,4
24420,../images/plane_s_000980.png,,0
28093,../images/canis_familiaris_s_000609.png,,5
70601,../images/flatfish_s_000656.png,32.0,10
58896,../images/container_ship_s_001539.png,,8
66057,../images/navel_orange_s_001456.png,53.0,12
22081,../images/bufo_americanus_s_000963.png,,6
2026,../images/maltese_dog_s_000912.png,,5
46279,../images/taxi_s_002149.png,,1
6131,../images/japanese_spaniel_s_000104.png,,5
13032,../images/compact_car_s_002074.png,,1
25489,../images/stealth_fighter_s_001371.png,,0
52386,../images/japanese_deer_s_001201.png,,4
57695,../images/tug_s_000109.png,,8
26298,../images/estate_car_s_001362.png,,1
43129,../images/blenheim_spaniel_s_000230.png,,5
49892,../images/rana_catesbeiana_s_001527.png,,6
13726,../images/wapiti_s_001068.png,,4
201,../images/wagon_s_001824.png,,1
1199,../images/toy_dog_s_001000.png,,5
41379,../images/grass_frog_s_000616.png,,6
22485,../images/dawn_horse_s_002154.png,,7
26815,../images/propeller_plane_s_000015.png,,0
67114,../images/carassius_auratus_s_000590.png,1.0,10
16920,../images/amphibious_aircraft_s_000409.png,,0
27966,../images/honey_eater_s_000002.png,,2
48268,../images/lorry_s_001308.png,,9
18185,../images/muntjac_s_001176.png,,4
57576,../images/cargo_vessel_s_000050.png,,8
48671,../images/dive_bomber_s_000705.png,,0
1871,../images/jumbo_jet_s_000847.png,,0
30231,../images/pekinese_s_001057.png,,5
45130,../images/lippizaner_s_000048.png,,7
44158,../images/shooting_brake_s_001101.png,,1
73178,../images/tulip_s_001910.png,92.0,11
63163,../images/minibus_s_000649.png,13.0,14
44901,../images/trailer_truck_s_000328.png,,9
52711,../images/pekingese_s_000801.png,,5
34092,../images/leopard_frog_s_001057.png,,6
40334,../images/airbus_s_000670.png,,0
49234,../images/convertible_s_002950.png,,1
34586,../images/dump_truck_s_001656.png,,9
27936,../images/broodmare_s_001209.png,,7
2348,../images/felis_domesticus_s_000116.png,,3
39993,../images/trailer_truck_s_001631.png,,9
28526,../images/coupe_s_001781.png,,1
12419,../images/seaplane_s_000772.png,,0
40797,../images/southwestern_toad_s_000075.png,,6
4086,../images/bufo_marinus_s_000446.png,,6
36562,../images/stud_mare_s_000030.png,,7
1444,../images/pipit_s_000033.png,,2
38440,../images/dawn_horse_s_001194.png,,7
59691,../images/bufo_americanus_s_001520.png,,6
66093,../images/pickup_s_000222.png,58.0,14
61728,../images/poppy_s_001717.png,62.0,11
56701,../images/coupe_s_001780.png,,1
29984,../images/passenger_ship_s_000714.png,,8
5636,../images/bufo_s_000051.png,,6
26708,../images/airliner_s_001790.png,,0
8981,../images/fawn_s_002207.png,,4
51248,../images/night_bird_s_000028.png,,2
54817,../images/airliner_s_001004.png,,0
20558,../images/wagtail_s_000500.png,,2
1364,../images/auto_s_001289.png,,1
37435,../images/bird_s_000939.png,,2
55295,../images/attack_aircraft_s_001658.png,,0
45866,../images/ambulance_s_002554.png,,1
36055,../images/stealth_fighter_s_000808.png,,0
47262,../images/dump_truck_s_002049.png,,9
58121,../images/airbus_s_000312.png,,0
3853,../images/puppy_s_000382.png,,5
46377,../images/alytes_obstetricans_s_000352.png,,6
65888,../images/cichlid_fish_s_001471.png,1.0,10
34169,../images/woodland_caribou_s_000368.png,,4
57799,../images/truck_s_000024.png,,9
16447,../images/tractor_trailer_s_001898.png,,9
48138,../images/station_wagon_s_001528.png,,1
65041,../images/coluber_hippocrepis_s_000064.png,78.0,13
45307,../images/fire_truck_s_000975.png,,9
41390,../images/lipizzan_s_001754.png,,7
54892,../images/quarter_horse_s_000464.png,,7
33247,../images/cascades_frog_s_000065.png,,6
8831,../images/boat_s_002005.png,,8
16265,../images/lippizaner_s_000392.png,,7
28332,../images/passenger_ship_s_000436.png,,8
40768,../images/propeller_plane_s_000609.png,,0
58295,../images/true_cat_s_000106.png,,3
28475,../images/mutt_s_000389.png,,5
11240,../images/airbus_s_001516.png,,0
17216,../images/semi_s_000047.png,,9
51731,../images/mongrel_s_002620.png,,5
39301,../images/seaplane_s_001863.png,,0
25167,../images/airbus_s_002180.png,,0
34271,../images/lorry_s_001556.png,,9
19183,../images/true_cat_s_000766.png,,3
22244,../images/tabby_s_000856.png,,3
6845,../images/dump_truck_s_000984.png,,9
61018,../images/plaice_s_000100.png,32.0,10
31942,../images/bufo_bufo_s_000707.png,,6
71973,../images/african_crocodile_s_000923.png,27.0,13
43602,../images/taxi_s_000259.png,,1
1186,../images/tipper_truck_s_001595.png,,9
35933,../images/wagon_s_001833.png,,1
15203,../images/caribou_s_002283.png,,4
73165,../images/bicycle_s_002550.png,8.0,14
6262,../images/bufo_americanus_s_001179.png,,6
69946,../images/pear_s_001982.png,57.0,12
7568,../images/arabian_s_000003.png,,7
61118,../images/flounder_s_000055.png,32.0,10
40006,../images/capreolus_capreolus_s_001380.png,,4
60793,../images/tulipa_clusiana_s_000116.png,92.0,11
72751,../images/bosc_s_001893.png,57.0,12
57787,../images/toy_spaniel_s_001009.png,,5
44146,../images/station_wagon_s_000308.png,,1
12183,../images/car_s_000356.png,,1
44794,../images/dive_bomber_s_000316.png,,0
50715,../images/tabby_s_001519.png,,3
36831,../images/broodmare_s_001320.png,,7
61932,../images/trout_s_000035.png,91.0,10
31728,../images/stealth_fighter_s_000660.png,,0
72361,../images/red_delicious_s_001845.png,0.0,12
47791,../images/flatboat_s_000425.png,,8
58237,../images/stallion_s_001923.png,,7
44902,../images/fire_truck_s_001012.png,,9
63181,../images/bartlett_pear_s_000523.png,57.0,12
9799,../images/seaplane_s_002093.png,,0
39996,../images/convertible_s_002000.png,,1
61707,../images/dwarf_tulip_s_000095.png,92.0,11
15697,../images/flightless_bird_s_000565.png,,2
14128,../images/fighter_aircraft_s_001876.png,,0
71038,../images/sea_turtle_s_000922.png,93.0,13
23534,../images/container_ship_s_000025.png,,8
26397,../images/arabian_s_001560.png,,7
1890,../images/gelding_s_001947.png,,7
35930,../images/rana_catesbeiana_s_001296.png,,6
22201,../images/saddle_horse_s_000772.png,,7
42950,../images/pekingese_s_001289.png,,5
61307,../images/minibike_s_000505.png,48.0,14
34052,../images/convertible_s_002329.png,,1
4570,../images/spring_frog_s_000692.png,,6
10000,../images/auto_s_000241.png,,1
56466,../images/cabin_cruiser_s_001752.png,,8
15931,../images/stealth_fighter_s_000858.png,,0
48907,../images/cat_s_001563.png,,3
45248,../images/texas_toad_s_000880.png,,6
2790,../images/lipizzan_s_001032.png,,7
1133,../images/toy_spaniel_s_001763.png,,5
71522,../images/minibike_s_000491.png,48.0,14
69050,../images/trout_s_000038.png,91.0,10
40529,../images/fawn_s_000031.png,,4
36791,../images/compact_car_s_000186.png,,1
29853,../images/dunnock_s_000384.png,,2
17941,../images/lorry_s_002359.png,,9
46499,../images/police_boat_s_000855.png,,8
9757,../images/sparrow_s_000028.png,,2
24949,../images/alley_cat_s_002724.png,,3
17943,../images/american_saddle_horse_s_000003.png,,7
37595,../images/cow_pony_s_000015.png,,7
6497,../images/arabian_s_000666.png,,7
52142,../images/convertible_s_000188.png,,1
67428,../images/shark_s_001005.png,73.0,10
40636,../images/police_boat_s_000362.png,,8
42094,../images/ostrich_s_000063.png,,2
5376,../images/anuran_s_000702.png,,6
8484,../images/ship_s_000796.png,,8
68548,../images/turbot_s_000474.png,32.0,10
44032,../images/caribou_s_000916.png,,4
50934,../images/arabian_s_001207.png,,7
4720,../images/tabby_cat_s_002276.png,,3
49090,../images/liberty_ship_s_001151.png,,8
36155,../images/stealth_bomber_s_001085.png,,0
72937,../images/poppy_s_000231.png,62.0,11
39056,../images/biplane_s_000314.png,,0
48118,../images/tabby_cat_s_000934.png,,3
59770,../images/stag_s_000316.png,,4
34439,../images/cat_s_001372.png,,3
48882,../images/chihuahua_s_001071.png,,5
53094,../images/flying_bird_s_000617.png,,2
11038,../images/toad_frog_s_001219.png,,6
34287,../images/station_wagon_s_000601.png,,1
71859,../images/electric_ray_s_000316.png,67.0,10
23211,../images/roe_deer_s_001575.png,,4
30283,../images/chihuahua_s_001450.png,,5
45842,../images/delivery_van_s_000328.png,,9
30760,../images/tennessee_walker_s_001132.png,,7
73128,../images/bell_pepper_s_001113.png,83.0,12
71934,../images/eagle_ray_s_000242.png,67.0,10
54958,../images/sika_s_000278.png,,4
17561,../images/accentor_s_000984.png,,2
71317,../images/crocodile_s_002924.png,27.0,13
23447,../images/capreolus_capreolus_s_000001.png,,4
51312,../images/bufo_s_000324.png,,6
976,../images/fallow_deer_s_001623.png,,4
21380,../images/tractor_trailer_s_001883.png,,9
26839,../images/trucking_rig_s_001152.png,,9
66047,../images/gecko_s_001457.png,44.0,13
66580,../images/gecko_s_002395.png,44.0,13
53334,../images/maltese_s_001618.png,,5
57168,../images/mutt_s_000666.png,,5
22331,../images/honey_eater_s_001276.png,,2
65318,../images/mako_s_000135.png,73.0,10
6315,../images/rhea_americana_s_000146.png,,2
37246,../images/attack_aircraft_s_001308.png,,0
24964,../images/sound_truck_s_001450.png,,9
55094,../images/garbage_truck_s_001410.png,,9
33984,../images/bird_s_002431.png,,2
3832,../images/cargo_vessel_s_000001.png,,8
49442,../images/garbage_truck_s_001222.png,,9
27853,../images/elk_s_000993.png,,4
14514,../images/texas_toad_s_000901.png,,6
35255,../images/struthio_camelus_s_000271.png,,2
63015,../images/sweet_pepper_s_001189.png,83.0,12
29957,../images/tennessee_walking_horse_s_001474.png,,7
53749,../images/boat_s_001130.png,,8
6802,../images/ostrich_s_001295.png,,2
61336,../images/electric_ray_s_000366.png,67.0,10
57214,../images/true_cat_s_000212.png,,3
26410,../images/dog_s_000164.png,,5
29735,../images/dive_bomber_s_001255.png,,0
32350,../images/domestic_cat_s_002091.png,,3
47806,../images/river_boat_s_000571.png,,8
13819,../images/alauda_arvensis_s_000225.png,,2
21604,../images/convertible_s_002208.png,,1
65109,../images/pickup_s_000890.png,58.0,14
73865,../images/train_s_000589.png,90.0,14
42874,../images/lippizaner_s_000486.png,,7
49190,../images/alley_cat_s_001595.png,,3
33405,../images/green_frog_s_001474.png,,6
52919,../images/pilot_boat_s_000257.png,,8
30400,../images/monoplane_s_000558.png,,0
22486,../images/bird_of_passage_s_000214.png,,2
18742,../images/tailed_frog_s_000907.png,,6
27850,../images/fighter_aircraft_s_001774.png,,0
12494,../images/motorcar_s_002229.png,,1
47542,../images/automobile_s_001562.png,,1
73982,../images/verpa_s_001148.png,51.0,12
26132,../images/cat_s_001337.png,,3
4851,../images/supertanker_s_000903.png,,8
33136,../images/puppy_s_000602.png,,5
38956,../images/domestic_cat_s_001170.png,,3
13009,../images/arab_s_000739.png,,7
22848,../images/dog_s_000350.png,,5
38344,../images/airbus_s_000019.png,,0
65140,../images/lady_tulip_s_000385.png,92.0,11
21454,../images/cervus_elaphus_s_000013.png,,4
44023,../images/rana_temporaria_s_001028.png,,6
53761,../images/fighter_aircraft_s_000003.png,,0
32018,../images/fallow_deer_s_001669.png,,4
62800,../images/pickup_s_000232.png,58.0,14
11732,../images/jumbo_jet_s_000065.png,,0
46393,../images/japanese_spaniel_s_001158.png,,5
11505,../images/pleasure_boat_s_000194.png,,8
54678,../images/moving_van_s_001070.png,,9
898,../images/female_horse_s_000089.png,,7
67843,../images/tulip_s_001099.png,92.0,11
36784,../images/lipizzan_s_000044.png,,7
15074,../images/mongrel_s_002348.png,,5
15253,../images/wapiti_s_001189.png,,4
31180,../images/maltese_s_000217.png,,5
38769,../images/leopard_frog_s_000436.png,,6
59538,../images/lightship_s_000087.png,,8
15030,../images/fighter_s_001045.png,,0
52245,../images/banana_boat_s_000267.png,,8
62188,../images/verpa_bohemica_s_000016.png,51.0,12
16805,../images/tabby_cat_s_001835.png,,3
31733,../images/fallow_deer_s_000828.png,,4
67944,../images/motorcycle_s_000252.png,48.0,14
35814,../images/lippizan_s_001083.png,,7
2019,../images/green_frog_s_001226.png,,6
8549,../images/attack_aircraft_s_000954.png,,0
39931,../images/dunnock_s_000794.png,,2
10599,../images/canis_familiaris_s_000777.png,,5
11971,../images/auto_s_001950.png,,1
35650,../images/gelding_s_001483.png,,7
17008,../images/convertible_s_001175.png,,1
54787,../images/fireboat_s_000410.png,,8
43086,../images/merchantman_s_000361.png,,8
8820,../images/bufo_bufo_s_001387.png,,6
70265,../images/tulip_s_000127.png,92.0,11
276,../images/jetliner_s_001349.png,,0
18076,../images/powerboat_s_000445.png,,8
3847,../images/wagtail_s_000228.png,,2
18291,../images/fighter_aircraft_s_000062.png,,0
40843,../images/fighter_aircraft_s_001071.png,,0
68078,../images/turbot_s_000836.png,32.0,10
18448,../images/appaloosa_s_002186.png,,7
41190,../images/pekinese_s_002305.png,,5
64482,../images/poppy_s_001324.png,62.0,11
73240,../images/crocodylus_porosus_s_000191.png,27.0,13
60918,../images/pear_s_000854.png,57.0,12
28630,../images/bufo_americanus_s_000136.png,,6
57455,../images/wagon_s_000176.png,,1
22431,../images/fallow_deer_s_000130.png,,4
43912,../images/bufo_bufo_s_001430.png,,6
23609,../images/arabian_s_002301.png,,7
25245,../images/station_wagon_s_002615.png,,1
9575,../images/bufo_bufo_s_001454.png,,6
3691,../images/delivery_truck_s_000581.png,,9
47584,../images/bird_s_000095.png,,2
25496,../images/wagtail_s_000745.png,,2
34123,../images/jetliner_s_000301.png,,0
45124,../images/odocoileus_hemionus_s_001111.png,,4
55722,../images/twinjet_s_000279.png,,0
33019,../images/quarter_horse_s_000758.png,,7
60849,../images/plaice_s_000812.png,32.0,10
65706,../images/bus_s_000164.png,13.0,14
55388,../images/american_toad_s_001266.png,,6
68485,../images/railroad_train_s_000001.png,90.0,14
54855,../images/station_wagon_s_000793.png,,1
50936,../images/struthio_camelus_s_000054.png,,2
33845,../images/station_wagon_s_000006.png,,1
19601,../images/tipper_lorry_s_000526.png,,9
33149,../images/tipper_s_002160.png,,9
2933,../images/true_cat_s_001462.png,,3
1198,../images/lapdog_s_002040.png,,5
54081,../images/biplane_s_001516.png,,0
39137,../images/dump_truck_s_000012.png,,9
58100,../images/green_frog_s_001085.png,,6
40028,../images/mule_deer_s_000357.png,,4
23455,../images/sambar_s_000931.png,,4
11177,../images/powerboat_s_001454.png,,8
25832,../images/dump_truck_s_001907.png,,9
27899,../images/lorry_s_001741.png,,9
31723,../images/stud_mare_s_001472.png,,7
16324,../images/female_horse_s_000047.png,,7
26027,../images/jumbojet_s_000368.png,,0
37793,../images/trucking_rig_s_001474.png,,9
29859,../images/tennessee_walker_s_000077.png,,7
41309,../images/green_frog_s_000084.png,,6
38294,../images/american_elk_s_000169.png,,4
47570,../images/fawn_s_000243.png,,4
46682,../images/tabby_s_000388.png,,3
23325,../images/dustcart_s_000139.png,,9
4191,../images/packet_boat_s_001290.png,,8
74013,../images/banded_gecko_s_001146.png,44.0,13
61675,../images/goldfish_s_002507.png,1.0,10
45426,../images/trucking_rig_s_000590.png,,9
52630,../images/honey_eater_s_001255.png,,2
5580,../images/multiengine_plane_s_000170.png,,0
47205,../images/european_elk_s_000450.png,,4
50723,../images/coupe_s_000991.png,,1
36795,../images/tabby_s_001808.png,,3
17704,../images/wrecker_s_001193.png,,9
22709,../images/bufo_bufo_s_000120.png,,6
41276,../images/dump_truck_s_000386.png,,9
67902,../images/poppy_s_001453.png,62.0,11
63665,../images/bell_pepper_s_001426.png,83.0,12
35222,../images/toad_s_000069.png,,6
58440,../images/puppy_s_001035.png,,5
54127,../images/texas_toad_s_000152.png,,6
5962,../images/blenheim_spaniel_s_000272.png,,5
60185,../images/turbot_s_000491.png,32.0,10
35991,../images/jumbo_jet_s_001656.png,,0
51160,../images/pleasure_craft_s_000647.png,,8
31913,../images/tabby_s_002284.png,,3
35344,../images/compact_car_s_001346.png,,1
64163,../images/sunflower_s_000588.png,82.0,11
70950,../images/rose_s_000357.png,70.0,11
2713,../images/rana_catesbeiana_s_000613.png,,6
25333,../images/chihuahua_s_000144.png,,5
45800,../images/dive_bomber_s_001001.png,,0
1619,../images/tipper_truck_s_001906.png,,9
57570,../images/estate_car_s_000198.png,,1
26905,../images/coupe_s_000978.png,,1
37753,../images/domestic_cat_s_001343.png,,3
46496,../images/domestic_cat_s_000239.png,,3
30873,../images/fire_engine_s_000868.png,,9
13225,../images/attack_aircraft_s_000384.png,,0
56483,../images/rana_cascadae_s_000027.png,,6
30927,../images/puppy_s_000543.png,,5
54897,../images/auto_s_001959.png,,1
16236,../images/dog_s_002193.png,,5
33021,../images/wagtail_s_000835.png,,2
46585,../images/stealth_bomber_s_000017.png,,0
7223,../images/quarter_horse_s_001749.png,,7
21343,../images/arabian_s_000320.png,,7
37858,../images/cargo_vessel_s_001336.png,,8
59692,../images/delivery_truck_s_000447.png,,9
31596,../images/motorboat_s_000828.png,,8
16801,../images/twinjet_s_001597.png,,0
1885,../images/airliner_s_002017.png,,0
40698,../images/fire_engine_s_001146.png,,9
31641,../images/peke_s_000224.png,,5
41033,../images/capreolus_capreolus_s_000968.png,,4
73973,../images/poppy_s_002392.png,62.0,11
66134,../images/golden_delicious_s_001163.png,0.0,12
23885,../images/tabby_cat_s_002003.png,,3
27310,../images/sea_boat_s_001436.png,,8
51909,../images/domestic_cat_s_001487.png,,3
18038,../images/blenheim_spaniel_s_000415.png,,5
48206,../images/bufo_s_001899.png,,6
